workSpace,Rue,Code Postal,type
Regus Brussels EU Schuman,Rond-Point Robert Schuman 6,1040 Etterbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Brussels Schuman,Rond-Point Robert Schuman 11,1040 Etterbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SERVCORP,Rond-point Schuman 2-4,1040 Etterbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Spaces European District,Rue Belliard 40,1040 Etterbeek,None
Acte,Avenue Louise 207,1050 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Beci,Avenue Louise 500,1050 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Multiburo - Louise,Avenue Louise 143/4,1050 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Mundo Matongé,Rue d'Édimbourg 26,1050 IxellesB,"Bureau, Coworking"
Regus Brussels IT Tower,Avenue Louise 480,1050 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Brussels Louise,Avenue Louise 65,1050 Bruxelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Servcorp Brussels,Bastion Tower - Place du Champ de Mars 5,1050 Ixelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare BAILLI,Avenue Louise 231,1050 Ixelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare DELTA,Avenue Arnaud Fraiteur 15-23,1050 Ixelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare LOUISE,Avenue Louise 523,1050 Ixelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare STÉPHANIE,Avenue Louise 54,1050 Ixelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Skylab Factory Bruxelles,Avenue Louise 485,1050 Ixelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
TOPOS Louise,Avenue Louise 367,1050 Ixelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
TOPOS Parlement,Rue d'Arlon 25,1050 Ixelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
WorkOffice - Ixelles,Avenue Louise, Ixelles,None
Brussels Business Offices,Rue Théodore Verhaegen 196,1060 Saint-Gilles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Brussels South Station,Place Marcel Broodthaers 8,1060 Saint-Gilles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Express Brussels Zuid-Midi Railway Station,Avenue Fonsny 46,1060 Saint-Gilles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Be-Square - Bara,Rue Bara 57,1070 Anderlecht,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
EEBIC,Allée de la Recherche 12,1070 Anderlecht,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Anderlecht City Dox,Boulevard Industriel 9,1070 Anderlecht,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
The Faculty,Rue des Vétérinaires 47,1070 Anderlecht,None
Alnair,Boulevard Edmond Machtens 172,1080 Molenbeek-Saint-Jean,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Le phare du kanaal,Quai des Charbonnages 40,1080 Molenbeek-Saint-Jean,"Coworking, Bureaux virtuels"
WorkOffice - Molenbeek-Saint-Jean,Avenue de la Liberté 175,1080 Molenbeek-Saint-Jean,None
Regus Brussels West Basilix,Avenue Charles-Quint 584,1082 Berchem-Sainte-Agathe,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
ILONATO,Rue Arthur Maes 100,1130 Haren,"Coworking, Bureaux virtuels"
transforma bxl,Avenue Jules Bordet 13,1140 Evere,None
The Nestwork,Avenue de Broqueville 12,1150 Woluwe-Saint-Pierre,None
SAMAYA,Chaussée de Wavre, Auderghem,Coworking
Seed Factory,Avenue des Volontaires 19,1160 Audergem,"Bureau, Coworking, Salles de réunion"
Spaces Auderghem,Avenue Herrmann-Debroux 54,1160 Auderghem,None
Buzzynest Boitsfort,Boulevard du Souverain 24,1170 Watermael-Boitsfort,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
FOSBURY & SONS - BOITSFORT,Chaussée de La Hulpe 185,1170 Watermael-Boitsfort,"Bureau, Coworking, Salles de réunion"
Womanly,Boulevard du Souverain 24,1170 Watermael-Boitsfort,Coworking
KNBC,Avenue Kersbeek 308,1180 Uccle,Bureaux virtuels
FACTORY FORTY,Rue des Anciens Étangs 40,1190 Forest,"Bureau, Bureaux virtuels, Salles de réunion"
BBC – Belgian Business Center,Chaussée de Roodebeek 206,1200 Woluwe-Saint-Lambert,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
The Library Broqueville,Avenue de Broqueville 40,1200 Woluwe-Saint-Lambert,None
Industrious Brussels EU District,Avenue des Arts 6-9,1210 Saint-Josse-ten-Noode,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Kolonienstraat 10,Avenue du Boulevard 21 5ème étage,1210 Bruxelles,"Bureau, Coworking, Bureaux virtuels"
Mundo Madou,Avenue des Arts 7-8,1210 Saint-Josse-ten-Noode,"Bureau, Coworking, Bureaux virtuels"
Spaces Manhattan Center,Avenue du Boulevard 21,1210 Saint-Josse-ten-Noode,None
Working From_ The Hoxton,Square Victoria Régina 1,1210 Saint-Josse-ten-Noode,"Bureau, Coworking, Salles de réunion"
Multiburo - Collines de Wavre,Avenue Pasteur 6,1300 Wavre,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Buzzynest La Hulpe,Avenue Reine Astrid 921310, Hulpe,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
WIP,Chaussée de Bruxelles 135A1310, Hulpe,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Hive 5 - Louvain-la-Neuve,Traverse d'Ésope 6,1348 Louvain-la-Neuve,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Mundo Louvain-la Neuve,Avenue de Citeaux 114,1348 Louvain-la-Neuve,None
Regus Louvain-La-Neuve City Centre,Place de l'Université 16,1348 Louvain-la-Neuve,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
CAP Innove,Rue de l'Industrie 20,1400 Nivelles,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
The Workshop,Rue Saint-André 2,1400 Nivelles,None
Regus Waterloo Office Park,Drève Richelle 161 M/box 57,1410 Waterloo,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Braine-L'Alleud Parc de L'Alliance,Bd de France 9,1420 Braine-l'Alleud,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Be Square - Sint-Pieters-Leeuw ,Bergensesteenweg 421/1,31600 Sint-Pieters-Leeuw,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
WorkOffice - Sint-Pieters-Leeuw,Oudstrijdersstraat 56,1600 Sint-Pieters-Leeuw,None
Zennevallei,Bergensesteenweg 709,1600 Leeuw-Saint-Pierre,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
FOSBURY & SONS - ALFONS,Alfons Gossetlaan 40,1702 Dilbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Groot-Bijgaarden Dilbeek,Pastoor Cooremansstraat 3,1702 Dilbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
WorkOffice - Wemmel,Pl. Lt. Graff 15,1780 Wemmel,None
firma I,Schaarbeeklei 636,1800 Vilvoorde,None
Officenter - Vilvoorde,Luchthavenlaan 27,1800 Vilvorde,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
BC Group - Vilvoorde,Mechelsesteenweg 277,1804 Cargovil,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
BLOOMZ Offices,Lambroekstraat 5A,1831 Diegem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Greenhouse Antwerp,Berkenlaan 8A / 8B,1831 Diegem,Salles de réunion
MeetDistrict - Diegem,Culliganlaan 5,1831 Diegem,"Coworking, Bureaux virtuels"
Regus Brussels Airport,Pegasuslaan 5,1831 Diegem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Spaces Brussels Airport,De Kleetlaan 4,1831 Diegem,None
Interoffices Brussels Expo,Temselaan, Strombeek-Bever,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Interoffices Brussels Airport,Leonardo Da Vincilaan 1,1930 Zaventem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Zaventem,Chaussée de Louvain 643,1930 Zaventem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Airport Meeting Centre,"Skyport Airport, Box 75",1930 Zaventem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare ZAVENTEM,Ikaroslaan 1,1930 Zaventem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
The Office Operators,Leonardo Da Vincilaan 9,1930 Zaventem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Tribes Brussels Airport,Leopoldlaan 1K,1930 Zaventem,None
Frame21 Brussels Airport,Da Vincilaan 2,1935 Zaventem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Mon siège social - Kraainem,Chaussée de Malines 455,1950 Kraainem,Bureaux virtuels
Mon siège social - Wezembeek-Oppem,Rue de la Limite 166,1970 Wezembeek-Oppem,Bureaux virtuels
Brain Embassy,Italiëlei 120-124,2000 Anvers,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Humgy Central,Meir 78,2000 Antwerpen,"Bureau, Coworking"
Humgy South,Meir 78,2000 Antwerpen,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SilverSquare ANTWERP TOWER,Frankrijklei 5,2000 Antwerp,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Spaces Nieuw Zuid,Michel de Braeystraat 52,2000 Antwerp,None
Multiburo - Antwerpen,De Keyserlei 58-60,2018 Antwerpen,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Antwerp City Centre,Quellinstraat 49,2018 Antwerp,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Express Antwerp Railway Station,Pelikaanstraat 3 box, Antwerp,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Accentis Noorderlaan, Noorderlaan 139/3,V2030 Antwerpen,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Antwerp Harmony,Lange Lozanastraat 142,2030 Antwerp,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Antwerp Port Atlantic House,Noorderlaan 147,2030 Antwerp,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
THE FACTORIE,Middelmolenlaan 175,2100 Deurne,None
Mundo Antwerpen,"Turnhoutsebaan 139,", Borgerhout,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Interoffices Antwerp East,Nijverheidsstraat 70,2160 Wommelghem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
De Koekenfabriek,Komiteitstraat 46-52,2170 Merksem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Frame21 Herentals,Diamantstraat, Herentals,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Herentals Industry,Atealaan 34,2200 Herentals,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Interoffices Turnhout - Paterspand,Patersstraat 100,2300 Turnhout,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Turnhout,Rubensstraat 104,2300 Turnhout,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Geel,Kleinhoefstraat 5,2440 Geel,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Accentis Business Center,Duwijckstraat 17,2500 Lier,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Bluepoint - Antwerpen,Filip Williotstraat 7-9,2600 Berchem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Greenhouse Antwerp,Uitbreidingstraat 66,2600 Berchem,Coworking
"MeetDistrict - Berchem, The Link 2",Posthofbrug 6-8,2600 Berchem,"Coworking, Bureaux virtuels"
Regus Antwerp Berchem Station,Uitbreidingstraat 84,2600 Berchem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Spaces Berchem Post X,Borsbeeksebrug 34,2600 Berchem,None
Officenter - Aartselaar,Antwerpsesteenweg 124,2630 Aertselaer,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
De Wolkammerij,Adolf Greinerstraat 12,2660 Hoboken,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Mechelen,Antwerpsesteenweg 261,2800 Mechelen,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Spaces Mercier Square,Kardinaal Mercierplein 2,2800 Mechelen,None
Rivium,Antwerpsesteenweg 45,2830 Willebroeck,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Brecht, Ringlaan 17E,2960 Brecht,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Express Leuven Railway Station,Martelarenplein 20E,3000 Leuven,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Business Brewery,Interleuvenlaan 62,3001 Leuven,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Leuven,Grauwmeer 1,3001 Leuven,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Books The Office,Kolonel Dusartplein 28B,3500 Hasselt,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Corda Campus,Kempische Steenweg 293/1,63500 Hasselt,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Hasselt,Hendrik van Veldekesingel 150,3500 Hasselt,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Hasselt Atelier,Prins-Bisschopssingel 50,3500 Hasselt,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Hasselt,Boudewijnlaan 20A,3500 Hasselt,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Smartspace,Gouverneur Roppesingel 81/83,3500 Hasselt,None
Greenville,Centrum-Zuid, Houthalen-Helchteren,Bureau
Officenter - Beringen,Everselstraat 133,3580 Beringen,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
BioVille,"Agoralaan, gebouw", Diepenbeek,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
C-Mine Crib,C-mine 12,3600 Winterslag,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
IncubaThor,Thor Park, Genk,"Bureau, Coworking, Salles de réunion"
Officenter - Genk,Bosdel 54,3600 Genk,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Agropolis,Agropolis Park 101,3640 Kinrooi,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
DonePort,Lichtenberglaan, Sint-Truiden,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Huys Germeys,Minderbroedersstraat 6,3800 Sint-Truiden,"Coworking, Bureaux virtuels"
Officenter - Sint-Truiden,Tongersesteenweg 190,3800 Sint-Truiden,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Pelt,Europalaan 11,3900 Pelt,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Noordlink,Louis Pasteurstraat 21,3920 Lommel,"Bureau, Bureaux virtuels"
SilverSquare GUILLEMINS,Esplanade Simone, Liège,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Spaces - Liège Guillemins,Rue des Guillemins 139,4000 Angleur,None
Bluepoint - Liège,Boulevard Emile de Laveleye 191,4020 Angleur,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
LE HUB,Rue sur Haies 7,4557 Tinlot,"Coworking, Bureaux virtuels"
Co Working Namur,Rue Marie Henriette 4;6,5000 Namur,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Mundo Namur,Rue Nanon 98,5000 Namur,"Bureau, Coworking, Bureaux virtuels"
Regus Namur Jambes,Chaussée de Liège 624,5100 Jambes,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
BUROGEST,Avenue des Dessus de Lives 2,5101 Namur,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Bcenter,Aux Minières 2,6900 Marche-en-Famenne,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Skylab Factory Mons,Boulevard Sainctelette 39,7000 Mons,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Centureo,Chaussée du Pont du Sart 232,7110 Houdeng-Aimeries,"Bureau, Coworking, Salles de réunion"
Easy Buro, Chaussée de Lille 327/0.4,7500 Tournai,Bureau
Skylab Factory Tournai,Avenue de Maire 44,7503 Tournai,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Skylab Factory Mouscron,Passage, Mouscron,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
BLACKBOXX,Krakeleweg 39,8000 Bruges,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Express - Brugge Railway Station,Stationsplein 4,8000 Brugge,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
O-FORTY,Kapellestraat 130-144,8020 Oostkamp,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Bedrijvencentrum Brugge,Lieven Bauwensstraat 20,8200 Bruges,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Vaartdijk Business Center,Vaartdijkstraat 19,8200 Brugge,None
Bedrijvencentrum Oostende,Kuipweg 13,8400 Ostende,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Buzzynest Kortrijk,Beneluxpark 26,8500 Kortrijk,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Kortrijk Pottelberg,Dumolinlaan 1,8500 Kortrijk,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SNOWBALL,Evolis 104,8530 Harelbeke,None
BC Group - Wevelgem,Vlamingstraat 4,8560 Wevelgem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Bedrijvencentrum Waregem,Kalkhoevestraat 1,8790 Waregem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Roeselare West Wing Park,Kwadestraat 149/1,8800 Roeselare,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Atelier 12,Nederweg 12,8870 Iseghem,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Skyline Park,Ambachtenstraat 33,8870 Izegem,"Bureau, Coworking, Salles de réunion"
Ampla House N18,Coupure Rechts 88,9000 Gent,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
MeetDistrict - Ghelamco Arena,Ottergemsesteenweg-Zuid 808,9000 Ghent,"Coworking, Bureaux virtuels"
Parkoffice,Franklin Rooseveltlaan 348,9000 Gent,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Provinciale Ontwikkelingsmaatschappij Oost-Vlaanderen,Woodrow Wilsonplein 2,9000 Gent,Salles de réunion
Spaces Zuiderpoort,Gaston Crommenlaan 4,9050 Ghent,None
Idola Bussiness Center, Antwerpse Steenweg 19,9080 Lochristi,"Bureau, Coworking, Bureaux virtuels"
Bedrijvencentrum Waasland,Industriepark-West 75,9100 Saint-Nicolas-Waes,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Express - St Niklaas Railway Station,Stationsplein 7E,9100 Sint-Niklaas,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Temse,Luxemburgstraat 20,9140 Temse,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Hier,Albert Liénartstraat 24,9300 Aalst,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Bedrijvencentrum Aalst,Industrielaan 4,9320 Alost,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Officenter - Aalst,Ninovesteenweg 198,9320 Aalst,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Regus Aalst Erembodegem,Groeneweg 17,9320 Aalst,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
SkylinE40,Korte Keppestraat, Aalst,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Bedrijvencentrum Geraardsbergen,Herenveld 2,9506 Grammont,"Bureau, Coworking, Bureaux virtuels, Salles de réunion"
Axxes Business Center,Guldensporenpark 120,9820 Merelbeke,Bureau
